,ticker,date,time,title,compound
112,GOOG,2021-02-19,07:56PM  ,Welcome to Earnings Valhalla. Why Stocks Can Still Shine.,0.4588
113,GOOG,2021-02-19,06:00PM  ,Alphabet (GOOGL) Shows Discipline,0.0
114,GOOG,2021-02-19,05:22PM  ,"Google fires second AI ethics leader as dispute over research, diversity grows",-0.4019
115,GOOG,2021-02-19,05:08PM  ,"Google to evaluate executive performance on diversity, inclusion",0.0
116,GOOG,2021-02-19,04:56PM  ,"Google to evaluate executive performance on diversity, inclusion",0.0
117,GOOG,2021-02-19,03:10PM  ,Google AI Chief Apologizes for Researchers Acrimonious Exit,-0.0516
118,GOOG,2021-02-19,01:28PM  ,"Game makers rely on Unity Software, which is a reason you should consider owning its shares",0.296
119,GOOG,2021-02-19,01:00PM  ,Does Transportation as a Service Spell the End of the Family Car?,0.0
120,GOOG,2021-02-19,11:36AM  ,"Apple in Talks to Buy Self-Driving Sensors, Key Step in Car Plan",0.0
121,GOOG,2021-02-19,10:55AM  ,Why This Project May Be The Solution The Ad Market Desperately Needs,-0.0772
122,GOOG,2021-02-19,10:26AM  ,Exclusive: White House working with Facebook and Twitter to tackle anti-vaxxers,0.128
123,GOOG,2021-02-19,10:25AM  ,Apple (AAPL) Could Sell Off to $110,0.0
124,GOOG,2021-02-19,09:50AM  ,"Sabre stock surges toward a 1-year high, after Deutsche Bank analyst turns bullish",0.0
125,GOOG,2021-02-19,09:38AM  ,"Uber, Judge Skeptical Of Levandowski's Tactics To Protect Wealth From Creditors",0.4976
126,GOOG,2021-02-19,08:45AM  ,"Facebook, Alphabet, Twitter CEOs To Testify Before Congress In March Over Misinformation: CNBC",-0.3182
127,GOOG,2021-02-19,07:41AM  ,Europe Publishers Turn Up Heat on Facebook After Australia Spat,0.0
128,GOOG,2021-02-19,07:30AM  ,"Digital Ad Duopoly Of Google, Facebook Doesn't Dominate In Fast-Growing Connected TV",0.0951
129,GOOG,2021-02-19,07:22AM  ,"Best mobile phone deals in the UK for February 2021: Sales on iPhone, Samsung, Google Pixel and more",0.6369
130,GOOG,2021-02-19,07:11AM  ,1 Fintech SPAC IPO to Watch in 2021,0.0
131,GOOG,2021-02-19,07:00AM  ,The Best 5G Stocks? There Could Be A Boatload Soon When Business Adopts It,0.7096
132,GOOG,2021-02-19,07:00AM  ,"Top-Notch Putnam Fund Seeks Stocks With Solid Fundamentals, ESG Investing Traits",0.1531
133,GOOG,2021-02-19,06:54AM  ,Facebook's Australia news blackout: a shock four years in the making,-0.3818
134,GOOG,2021-02-19,06:04AM  ,Exclusive: Facebook and Google could lose bargaining power under upcoming U.S. bill to help news outlets,0.128
135,GOOG,2021-02-19,05:31AM  ,Iran Snubs Biden in Calling for End to Sanctions Before Talks,-0.4767
136,GOOG,2021-02-19,03:33AM  ,Facebooks Australia Face-Off Could Backfire Across the Globe,0.0
137,GOOG,2021-02-19,12:56AM  ,TIMELINE-Events leading to Facebooks dramatic unfriending of Australian news outlets,0.0
138,GOOG,2021-02-18,11:49PM  ,Google names exec to oversee responsible AI research after staff unrest,0.3182
139,GOOG,2021-02-18,09:40PM  ,"Facebook, Google, Twitter CEOs will testify about misinformation before U.S. Congress",-0.3182
140,GOOG,2021-02-18,08:47PM  ,YouTube Yanks PewDiePie Video That Attacked Top Kids Channel,-0.296
141,GOOG,2021-02-18,08:04PM  ,Waze's ex-CEO says app could have 'grown faster' without Google,0.0
142,GOOG,2021-02-18,07:57PM  ,Waze's ex-CEO says app could have 'grown faster' without Google,0.0
143,GOOG,2021-02-18,07:54PM  ,"UPDATE 2-Undeterred by Facebook news blackout, Australia commits to content law",0.0258
144,GOOG,2021-02-18,07:46PM  ,Australian news sites' traffic falls after Facebook blocks content -Chartbeat,-0.2263
